Name,Price,Year,Kilometer,Fuel,Transmission,Engine,Location
Suzuki Ertiga,102000000,2014,60.000,Bensin,MT,1.4,Pasar
Toyota Avanza,150000000,2018,60.000,Bensin,MT,1.3,CilangkapHari
Honda Mobilio,153000000,2018,90.000,Bensin,MT,1.5,PademanganHari
Wuling Confero,140000000,2023,15.000,Bensin,MT,1.5,Duren
Mercedes-Benz GLC200,579000000,2018,25.000,No fuel,No transmission,200,Kebayoran
Toyota Vellfire,685000000,2017,70.000,No fuel,No transmission,2017,Jakarta
Porsche Cayenne,428000000,2004,45.000,No fuel,No transmission,1,Grogol
BMW X1,339000000,2017,35.000,No fuel,No transmission,1,Kebayoran
Suzuki SX4,115000000,2012,75.000,No fuel,AT,4,CilandakHari
Toyota Avanza,239000000,2022,45.000,No fuel,AT,2022,Kramat
Toyota Fortuner,435000000,2019,75.000,No fuel,AT,2.4,CakungHari
Kia Carens,24000000,2001,15.000,No fuel,No transmission,No engine size,GambirHari
Toyota Vellfire,615000000,2015,70.000,No fuel,AT,70,KembanganHari
Mitsubishi Strada,130000000,2008,170.000,No fuel,No transmission,2.5,Kebayoran
Mitsubishi Pajero Sport,247000000,2012,90.000,No fuel,AT,4,MakasarHari
BMW 528i,388000000,2015,35.000,No fuel,No transmission,2015,Tanjung
BMW X1,375000000,2016,20.000,No fuel,No transmission,2016,Tanjung
Subaru BRZ,749000000,2023,5.000,No fuel,No transmission,No engine size,Tanjung
Porsche Boxster,2500000000,2022,5.000,No fuel,No transmission,2021,KemayoranHari
Chevrolet Trax,138000000,2016,75.000,Bensin,AT,1.4,Pasar
Chevrolet Trax,164000000,2017,115.000,Bensin,AT,1.4,TebetHari
Honda Brio Satya,118000000,2017,70.000,Bensin,MT,1.2,Pasar
Nissan March,95000000,2015,40.000,Bensin,MT,1.2,Kelapa
Toyota Fortuner,490000000,2021,30.000,No fuel,AT,2.4,PenjaringanHari
Honda HR-V,218000000,2019,75.000,No fuel,No transmission,2019,Pademangan6
Hyundai H-1,399000000,2018,50.000,Diesel,No transmission,1,Kelapa
Wuling Air EV,157000000,2023,15.000,No fuel,No transmission,2023,Kelapa
Mercedes-Benz E200,820000000,2022,15.000,No fuel,No transmission,200,Cilandak26
Mercedes-Benz G-Class,4300000000,2022,5.000,No fuel,No transmission,400,Tanjung
BMW 523i,160000000,2008,120.000,No fuel,No transmission,523,Pulo
Ferrari California,4500000000,2015,15.000,No fuel,No transmission,No engine size,Pantai
Mercedes-Benz E250,625000000,2011,95.000,Bensin,No transmission,250,Pasar
Volkswagen Tiguan Allspace,450000000,2021,20.000,No fuel,No transmission,2021,Pantai
Mercedes-Benz Tiger,130000000,1986,220.000,No fuel,No transmission,280,CilandakHari
BMW X7,1900000000,2022,5.000,Bensin,No transmission,7,PenjaringanHari
Toyota Fortuner,268000000,2013,80.000,No fuel,No transmission,4,CibuburHari
Mercedes-Benz C200,870000000,2023,10.000,No fuel,No transmission,200,Jakarta
Mercedes-Benz C200,870000000,2023,10.000,No fuel,No transmission,200,Kebayoran
Isuzu Panther,98700000,2013,105.000,No fuel,No transmission,No engine size,Kebayoran
Toyota Agya,140000000,2021,5.000,Bensin,AT,1.2,CibuburHari
Honda BR-V,163000000,2017,75.000,Bensin,AT,1.5,CilangkapHari
Toyota Kijang Innova,179000000,2014,135.000,Bensin,AT,2.0,CilangkapHari
Nissan Serena,220000000,2016,95.000,Bensin,AT,2.0,PademanganHari
Mitsubishi Xpander,199000000,2018,135.000,Bensin,AT,1.5,MatramanHari
Toyota Yaris,168000000,2017,80.000,No fuel,No transmission,1.5,Pademangan6
Mercedes-Benz Lain-lain,1600000000,2023,5.000,No fuel,No transmission,350,Kelapa
Toyota Harrier,335000000,2014,105.000,No fuel,No transmission,2.0,Kemayoran23
Chery Tiggo 7 Pro,303000000,2022,15.000,No fuel,AT,0,Menteng5
BMW 730Li,150000000,2004,65.000,No fuel,No transmission,730,Kebayoran
Mercedes-Benz B200,215000000,2014,80.000,No fuel,No transmission,200,KembanganHari
Mini Cooper Lain-lain,610000000,2018,35.000,No fuel,No transmission,20,KembanganHari
Mercedes-Benz GLE450,1295000000,2021,40.000,No fuel,No transmission,450,KemayoranHari
Honda HR-V,265000000,2021,25.000,No fuel,No transmission,1.5,Kebayoran
Volkswagen Touran,119000000,2009,10.000,No fuel,No transmission,2009,PademanganHari
Toyota Calya,135000000,2022,35.000,No fuel,Manual,2022,Jakarta
Mercedes-Benz B200,215000000,2014,80.000,No fuel,No transmission,200,MentengHari
Toyota Vellfire,389000000,2015,60.000,No fuel,No transmission,2015,PademanganHari
Toyota Camry,190000000,2014,90.000,Bensin,No transmission,2014,Setia
Ford Fiesta,65000000,2012,135.000,No fuel,No transmission,2012,PancoranHari
Honda CR-V,337000000,2017,100.000,Bensin,AT,1.5,Kebayoran
Honda City,167000000,2015,90.000,Bensin,AT,1.5,PademanganHari
Daihatsu Ayla,119000000,2017,70.000,Bensin,AT,1.2,CakungHari
Toyota Yaris,298000000,2023,25.000,Bensin,AT,1.5,PademanganHari
Honda Jazz,219000000,2019,60.000,Bensin,AT,1.5,CibuburHari
Suzuki Baleno next-G,210900000,2023,5.000,No fuel,No transmission,2024,Gambir07
Lexus LS460,600000000,2014,65.000,No fuel,No transmission,460,Pademangan08
Honda WR-V,272100000,2024,5.000,No fuel,No transmission,2024,Tanjung
Wuling Air EV,200000000,2022,15.000,No fuel,No transmission,2022,Tanjung
Mercedes-Benz B200,215000000,2014,80.000,No fuel,No transmission,200,KemangHari
Mini Cooper Countryman,388000000,2012,60.000,No fuel,No transmission,2012,PademanganHari
Toyota Alphard,795000000,2018,85.000,No fuel,No transmission,2018,CilandakHari
Mercedes-Benz B200,215000000,2014,80.000,No fuel,No transmission,200,Cempaka
Daihatsu Ayla,115000000,2021,15.000,No fuel,Manual,1.2,Kebayoran
Chevrolet Trax,139000000,2017,105.000,No fuel,No transmission,2017,Kebayoran
Mercedes-Benz B200,215000000,2014,80.000,No fuel,No transmission,200,Mampang
Mitsubishi Pajero Sport,365000000,2016,80.000,No fuel,No transmission,2016,PademanganHari
Mini Cooper Mini Cooper,620000000,2018,20.000,No fuel,No transmission,2018,Kebayoran
Honda CR-V,155000000,2013,120.000,No fuel,No transmission,2.4,Duren
Daihatsu Xenia,160000000,2019,90.000,Bensin,No transmission,5,CilandakHari
Honda CR-V,337000000,2017,100.000,Bensin,AT,1.5,Grogol
Suzuki Ertiga,133000000,2017,110.000,Bensin,MT,1.4,CilangkapHari
Toyota Yaris,225000000,2020,45.000,Bensin,AT,1.5,CilangkapHari
Mitsubishi Xpander,193000000,2018,120.000,Bensin,AT,1.5,PademanganHari
Daihatsu Sigra,104000000,2019,60.000,Bensin,MT,1.2,CibuburHari
Volkswagen Tiguan,158000000,2014,95.000,No fuel,No transmission,1.4,Kemayoran25
Toyota Alphard,945000000,2017,30.000,No fuel,No transmission,350,Menteng15
Honda BR-V,257000000,2023,15.000,No fuel,AT,2023,Daan
BMW X1,345000000,2016,70.000,No fuel,No transmission,25,Cipayung22
Toyota Kijang Super G,60000000,1996,100.000,No fuel,No transmission,No engine size,CilandakHari
Suzuki XL7,215000000,2022,25.000,No fuel,AT,7,Pasar
Daihatsu Sigra,110000000,2019,70.000,No fuel,No transmission,2019,Grogol
Daihatsu Terios,184000000,2019,15.000,No fuel,MT,2019,CakungHari
Mazda 3,318000000,2019,55.000,No fuel,No transmission,3,PademanganHari
Hyundai Creta,290000000,2022,25.000,No fuel,No transmission,1.5,PademanganHari
Lexus GS300,185000000,2007,30.000,No fuel,AT,300,MentengHari
Toyota Avanza,239000000,2023,30.000,No fuel,No transmission,2023,PademanganHari
Mitsubishi Xpander,191000000,2018,50.000,No fuel,AT,1.5,PademanganHari
BMW 520d,550000000,2017,50.000,No fuel,No transmission,2017,PenjaringanHari
Wuling Confero S,96000000,2018,140.000,Bensin,No transmission,2018,CengkarengHari
Mazda CX-3,271000000,2021,25.000,Bensin,AT,3,PesanggrahanHari
Toyota Voxy,329000000,2019,110.000,Bensin,AT,2.0,PademanganHari
Toyota Kijang Innova,216000000,2017,95.000,Bensin,MT,2.0,PademanganHari
Daihatsu Sigra,102000000,2023,15.000,Bensin,MT,1.0,Kelapa
Toyota Rush,212000000,2020,55.000,Bensin,AT,1.5,Tanjung
Toyota Camry,230000000,2017,75.000,No fuel,AT,2.5,Grogol
Porsche Macan,715000000,2015,30.000,No fuel,No transmission,10,Jakarta
Mazda CX-8,520000000,2021,40.000,No fuel,AT,35,Cipayung15
Daihatsu Gran max,150900000,2024,5.000,No fuel,No transmission,No engine size,Menteng30
Hyundai Palisade,845000000,2023,15.000,Diesel,No transmission,2.2,PademanganHari
Ford Ecosport,115000000,2015,125.000,No fuel,No transmission,1.5,SenenHari
Nissan March,98000000,2018,30.000,No fuel,Manual,1.2,CilandakHari
BMW 530i,575000000,2017,15.000,No fuel,No transmission,530,Duren
Mercedes-Benz Viano,750000000,2019,30.000,No fuel,No transmission,260,MentengHari
BMW X6,438000000,2012,35.000,No fuel,No transmission,6,Pantai
Toyota Kijang Innova,245000000,2018,85.000,Bensin,AT,2018,CilandakHari
Nissan Juke,112000000,2012,80.000,No fuel,No transmission,5,CilandakHari
Nissan X-Trail,150000000,2015,160.000,Bensin,No transmission,2015,Duren
BMW X5,475000000,2015,40.000,No fuel,No transmission,5,KembanganHari
Toyota Alphard,868000000,2020,25.000,No fuel,No transmission,2021,Kelapa
Daihatsu Ayla,81000000,2017,115.000,Bensin,MT,1.0,TebetHari
Wuling Almaz,187000000,2019,50.000,Bensin,AT,1.5,PademanganHari
Daihatsu Xenia,108000000,2014,50.000,Bensin,MT,1.3,CibuburHari
Daihatsu Terios,192000000,2021,20.000,Bensin,MT,1.5,CibuburHari
Toyota Sienta,188000000,2020,45.000,Bensin,AT,1.5,Kebayoran
Hyundai H-1,278000000,2018,110.000,Bensin,No transmission,1,Kebayoran
Mitsubishi Xpander,190000000,2018,70.000,No fuel,AT,1.5,Pulo
Honda HR-V,363900000,2024,5.000,No fuel,No transmission,No engine size,Cilandak5
Toyota Kijang Innova,243000000,2018,65.000,Bensin,AT,11,Duren
Toyota Alphard,868000000,2021,25.000,No fuel,No transmission,2021,Kebayoran
Nissan X-Trail,150000000,2015,160.000,Bensin,No transmission,2015,Duren
Hyundai Palisade,720000000,2021,25.000,Diesel,AT,21.000,CilandakHari
Hyundai Palisade,720000000,2021,25.000,Diesel,AT,21.000,SenenHari
BMW 116i,139000000,2006,95.000,No fuel,Automatic,116,Setia
Honda Civic,65000000,1994,100.000,Bensin,No transmission,1994,TamboraHari
Nissan X-Trail,138000000,2013,150.000,No fuel,No transmission,2.5,PademanganHari
Nissan Terra,350000000,2019,90.000,No fuel,AT,4,Kebon
Toyota Vellfire,199000000,2008,115.000,No fuel,No transmission,2008,CibuburHari
Toyota Kijang Innova,235000000,2017,110.000,No fuel,No transmission,2017,Kelapa
Suzuki Jimny,485000000,2024,5.000,No fuel,Manual,5,MentengHari
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Pulo
Toyota Agya,140000000,2021,10.000,Bensin,AT,1.2,PalmerahHari
Chevrolet Spark,116000000,2017,85.000,Bensin,AT,1.4,PademanganHari
Suzuki Baleno,162000000,2018,60.000,Bensin,AT,1.4,Kelapa
Suzuki S-Presso,147000000,2023,5.000,Bensin,AT,1.0,Pantai
BMW X5,425000000,2014,50.000,No fuel,No transmission,5,Setia
Hyundai H-1,278000000,2018,115.000,Bensin,No transmission,1,Cilandak18
Isuzu Lain-lain,340000000,2021,50.000,No fuel,No transmission,2021,Jagakarsa11
BMW 520i,495000000,2018,30.000,Bensin,No transmission,520,Cilandak5
Lexus RX200t,725000000,2017,55.000,No fuel,No transmission,200,Kebayoran
Hyundai Tucson,115000000,2012,100.000,Bensin,No transmission,2012,Kebon
Toyota Alphard,295000000,2012,105.000,No fuel,No transmission,2012,PademanganHari
Mercedes-Benz EQE 350+,1330000000,2022,5.000,No fuel,No transmission,350,PademanganHari
Mercedes-Benz GLE450,1295000000,2021,40.000,No fuel,No transmission,450,TamboraHari
Toyota Vellfire,320000000,2014,70.000,No fuel,No transmission,2014,Cempaka
Hyundai Palisade,720000000,2021,25.000,Diesel,AT,21.000,Tanjung
Mercedes-Benz GLA200,349000000,2014,80.000,No fuel,Automatic,200,Kelapa
Land Rover Range Rover Sport,1150000000,2014,35.000,No fuel,No transmission,3.0,Kebayoran
Suzuki Baleno,32500000,1997,185.000,No fuel,No transmission,97,CiracasHari
Toyota Fortuner,482500000,2021,40.000,Diesel,No transmission,2.4,Kebon
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Pasar
Toyota Avanza,196000000,2021,40.000,Bensin,AT,1.5,PademanganHari
Toyota Rush,193000000,2018,95.000,Bensin,MT,1.5,Kramat
Toyota Rush,193000000,2018,95.000,Bensin,MT,1.5,Pasar
Honda Mobilio,123000000,2015,100.000,Bensin,AT,1.5,Grogol
Toyota Alphard,260007000,2012,85.000,No fuel,No transmission,2012,Duren
Lexus RX 270,289000000,2012,75.000,No fuel,Automatic,270,SenenKemarin
Toyota Fortuner,435000000,2021,60.000,No fuel,No transmission,30,Pademangan16
Daihatsu Xenia,202000000,2022,30.000,No fuel,No transmission,1.3,Tanjung
BMW 320i,198000000,2011,70.000,No fuel,AT,320,KemayoranHari
Hyundai Palisade,720000000,2021,25.000,Diesel,AT,21.000,Kebayoran
Mazda 6,475000000,2022,15.000,No fuel,No transmission,6,PademanganHari
Honda CR-V,245000000,2017,95.000,No fuel,No transmission,2.4,Duren
Mazda 2,179000000,2016,95.000,No fuel,No transmission,2,Tanjung
Daihatsu Xenia,162000000,2021,50.000,Bensin,No transmission,2021,MatramanHari
Mazda CX-7,129000000,2010,100.000,No fuel,Automatic,7,MentengHari
Toyota Avanza,145000000,2018,65.000,No fuel,No transmission,1.3,KemayoranHari
Mercedes-Benz GLC250,430000000,2016,45.000,No fuel,No transmission,250,Kebayoran
Toyota Kijang Innova,232000000,2018,85.000,No fuel,AT,2017,JatinegaraHari
Suzuki Carry Pick-up,145000000,2023,10.000,No fuel,No transmission,2023,Pulo
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Bekasi
Daihatsu Rocky,209000000,2022,45.000,Bensin,AT,1.0,CibuburHari
Hyundai Grand i10,85000000,2014,100.000,Bensin,MT,10,MatramanHari
Mazda CX-30,383000000,2020,45.000,Bensin,AT,30,PademanganHari
Toyota Raize,235000000,2022,25.000,Bensin,AT,1.0,Pasar
Mazda 6,370000000,2019,45.000,No fuel,AT,6,Kelapa
Mercedes-Benz Viano,1325000000,2022,5.000,No fuel,No transmission,250,Menteng27
Mitsubishi Pajero Sport,499000000,2022,35.000,No fuel,AT,4,Kelapa
Toyota Celica,350000000,2004,65.000,No fuel,Automatic,2004,Tomang3
Honda Mobilio,135000000,2015,70.000,No fuel,No transmission,2015,Kelapa
Honda HR-V,235000000,2020,15.000,No fuel,No transmission,2019,CilandakHari
BMW M3,2300000000,2023,5.000,No fuel,No transmission,3,MentengHari
Honda CR-V,468000000,2021,70.000,No fuel,No transmission,1.5,Kelapa
Mercedes-Benz S320L,185000000,1998,140.000,No fuel,No transmission,320,CilandakHari
Isuzu Traga,231000000,2023,5.000,No fuel,No transmission,No engine size,CengkarengHari
Toyota Sienta,175000000,2018,45.000,No fuel,No transmission,48,KemayoranHari
BMW 320i,342000000,2017,45.000,No fuel,No transmission,30,Johar
Toyota Rush,184000000,2018,30.000,No fuel,No transmission,30,KemayoranHari
Honda HR-V,270000000,2018,55.000,No fuel,No transmission,2018,Jakarta
Toyota Fortuner,460000000,2021,40.000,No fuel,No transmission,2021,KemayoranHari
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Mampang
Daihatsu Sigra,117000000,2020,55.000,Bensin,MT,1.2,TamboraHari
Toyota Avanza,196000000,2021,40.000,Bensin,AT,1.5,KalideresHari
Toyota Calya,108000000,2017,85.000,Bensin,AT,1.2,CibuburHari
Honda Freed,126000000,2012,115.000,Bensin,AT,1.5,PademanganHari
Suzuki Jimny,468000000,2024,5.000,No fuel,No transmission,2024,Cilandak25
Mazda 2,108000000,2014,80.000,No fuel,AT,2,Cilandak4
Land Rover Range Rover Velar,1275000000,2018,25.000,No fuel,No transmission,250,Kebayoran
Honda Brio Satya,130000000,2018,50.000,Bensin,No transmission,2018,Pademangan27
BMW 520i,450000000,2019,55.000,No fuel,No transmission,520,KemayoranHari
BMW 320i,540000000,2020,35.000,No fuel,No transmission,320,KemayoranHari
Mercedes-Benz GLE450,1295000000,2021,40.000,No fuel,No transmission,450,Pulo
Mercedes-Benz GLC250,495000000,2017,35.000,No fuel,No transmission,250,Kebayoran
BMW X3,588000000,2018,30.000,No fuel,No transmission,3,Kebayoran
Wuling Almaz RS,259000000,2022,10.000,No fuel,No transmission,5,Kelapa
Toyota Yaris,89000000,2011,105.000,No fuel,AT,2011,TebetHari
Mobil CBU Lain-lain,2375000000,2023,5.000,No fuel,AT,1,KembanganHari
Mazda Biante,169000000,2016,100.000,No fuel,No transmission,2016,PademanganHari
Lexus LX600,3895000000,2023,5.000,No fuel,No transmission,600,Tanjung
Mercedes-Benz GLA200,370000000,2016,55.000,No fuel,No transmission,200,KemangHari
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Kelapa
Toyota Kijang Innova,179000000,2014,135.000,Bensin,AT,2.0,CibuburHari
Daihatsu Ayla,100000000,2022,70.000,Bensin,MT,1.0,PalmerahHari
Nissan Serena,295000000,2019,55.000,Bensin,AT,2.0,PenjaringanHari
Toyota Avanza,93000000,2013,180.000,Bensin,AT,1.3,PenjaringanHari
BMW 520i,250000000,2013,65.000,No fuel,No transmission,520,Kembangan3
Land Rover Defender 110,3850000000,2023,5.000,No fuel,No transmission,2023,Kelapa
Nissan Grand livina,80650000,2011,130.000,No fuel,No transmission,No engine size,Ciracas07
Honda CR-V,295000000,2018,50.000,No fuel,No transmission,1.5,Pademangan6
Toyota mobil-bekas-toyota-innova,140000000,2010,105.000,No fuel,No transmission,2010,KojaHari
Toyota Camry,245000000,2018,90.000,No fuel,AT,30,KembanganHari
Hyundai Palisade,720000000,2021,25.000,Diesel,AT,21.000,PesanggrahanHari
Toyota Rush,235000000,2023,15.000,No fuel,AT,2023,PesanggrahanHari
BMW X3,418000000,2017,40.000,No fuel,No transmission,1,Kebayoran
Suzuki Baleno,228000000,2023,10.000,No fuel,No transmission,2023,Kebayoran
Toyota Avanza,225000000,2021,40.000,No fuel,AT,1.5,Jakarta
Mini 3 Door,610000000,2018,35.000,No fuel,No transmission,2.0,Kebayoran
Lexus LX570,625000000,2008,100.000,No fuel,No transmission,570,MentengHari
Mercedes-Benz C200,455000000,2018,40.000,No fuel,No transmission,200,PenjaringanHari
Toyota Kijang Innova,325000000,2019,100.000,No fuel,AT,2019,Taman
Daihatsu Xenia,106000000,2018,55.000,Bensin,MT,1.3,MentengHari
Mazda CX-30,383000000,2020,45.000,Bensin,AT,30,PademanganHari
Mitsubishi Outlander Sport,210000000,2018,105.000,Bensin,AT,2.0,MatramanHari
Mitsubishi Xpander,310000000,2023,10.000,Bensin,AT,1.5,CibuburHari
Suzuki SX4,150000000,2016,105.000,Bensin,AT,4,PancoranHari
Toyota Vellfire,258000000,2010,50.000,No fuel,No transmission,50,Kebon
Suzuki XL7,225000000,2024,5.000,No fuel,No transmission,7,Kelapa
Mazda 3,349000000,2019,40.000,No fuel,No transmission,3,Mampang
Mercedes-Benz GLA200,340000000,2015,85.000,No fuel,AT,200,Setia
Porsche Lain-lain,4750000000,2023,5.000,No fuel,No transmission,911,Kebayoran
BMW X3,418000000,2017,40.000,No fuel,No transmission,3,SenenHari
